sale_id,sale_date,store_id,store_name,customer_id,channel,payment_method,product_id,barcode,quantity,unit_price_aed,discount_pct,promo_id,revenue_aed,cost_aed,gross_profit_aed
T000077,2025-12-11,S004,Marina Branch,C02430,InStore,Google Pay,P0083,5186449251922,1,21.45,0.05,PR0066,21.45,17.77,3.68
T000078,2025-11-18,S001,JVC Branch,C03091,InStore,Cash,P0146,2646471543790,1,74.53,0.15,PR0002,74.53,56.14,18.39
T000079,2025-11-12,S005,Deira Branch,C00757,Delivery,Apple Pay,P0204,7546913736788,5,19.47,0.0,,97.35,81.95,15.4
T000080,2025-10-28,S001,JVC Branch,C03858,Online,Apple Pay,P0070,5452711116153,2,10.74,0.0,,21.48,14.5,6.98
T000081,2025-11-06,S003,Al Barsha Branch,C02511,InStore,Cash,P0219,9926189141178,5,11.36,0.0,,56.8,42.5,14.3
T000082,2025-12-30,S001,JVC Branch,C02932,InStore,Apple Pay,P0016,5435346247515,1,11.06,0.0,,11.06,8.14,2.92
T000083,2025-12-24,S002,Dubai Hills Branch,C00405,InStore,Google Pay,P0016,5435346247515,1,11.06,0.0,,11.06,8.14,2.92
T000084,2026-01-14,S003,Al Barsha Branch,C00741,Online,Google Pay,P0101,1467866912516,5,5.74,0.3,PR0014,28.7,32.45,-3.75
T000085,2025-11-13,S004,Marina Branch,C00507,Online,Cash,P0093,1952058527727,5,10.0,0.05,PR0041,50.0,34.6,15.4
T000086,2025-11-03,S005,Deira Branch,C02887,Online,Cash,P0081,9807935978203,4,12.47,0.0,,49.88,36.64,13.24
T000087,2025-11-27,S001,JVC Branch,C02460,Delivery,Apple Pay,P0135,4235369378545,4,8.3,0.15,PR0059,33.2,32.4,0.8
T000088,2025-11-14,S004,Marina Branch,C03504,Online,Card,P0083,5186449251922,5,22.58,0.0,,112.9,88.85,24.05
T000089,2025-12-16,S001,JVC Branch,C00053,Delivery,Google Pay,P0048,2567468071549,6,19.49,0.0,,116.94,78.66,38.28
T000090,2025-12-06,S001,JVC Branch,C02772,InStore,Cash,P0079,9212779979956,4,13.9,0.0,,55.6,32.28,23.32
T000091,2025-12-06,S002,Dubai Hills Branch,C00417,Delivery,Card,P0293,371705865097,4,10.95,0.0,,43.8,24.72,19.08
T000092,2025-12-02,S001,JVC Branch,C02437,Online,Cash,P0108,47974801622,2,14.31,0.0,,28.62,24.04,4.58
T000093,2025-12-10,S002,Dubai Hills Branch,C01141,Delivery,Apple Pay,P0120,7420549329661,1,86.76,0.0,,86.76,52.74,34.02
T000094,2025-12-01,S004,Marina Branch,C03892,Online,Google Pay,P0164,8929750017019,4,10.1,0.0,,40.4,25.48,14.92
T000095,2025-11-21,S005,Deira Branch,C00443,InStore,Apple Pay,P0296,9398368457767,2,10.56,0.0,,21.12,14.22,6.9
T000096,2025-12-19,S004,Marina Branch,C00552,InStore,Cash,P0062,9651370985933,2,12.62,0.0,,25.24,14.82,10.42
T000097,2025-10-25,S001,JVC Branch,C00110,InStore,Google Pay,P0201,2945116868541,1,75.58,0.0,,75.58,43.35,32.23
T000098,2026-01-11,S005,Deira Branch,C01241,Delivery,Cash,P0212,6554947170998,1,99.23,0.0,,99.23,61.19,38.04
T000099,2026-01-09,S001,JVC Branch,C03248,Online,Card,P0176,3536541951800,5,17.98,0.0,,89.9,74.1,15.8
T000100,2026-01-09,S003,Al Barsha Branch,C01072,Delivery,Apple Pay,P0026,2148951343321,4,14.0,0.0,,56.0,38.24,17.76
T000101,2025-12-25,S005,Deira Branch,C00130,Online,Cash,P0199,1586938068682,1,13.74,0.0,,13.74,8.18,5.56
T000102,2025-12-13,S004,Marina Branch,C01813,Online,Cash,P0018,4118244935340,3,15.03,0.0,,45.09,37.41,7.68
T000103,2025-11-08,S001,JVC Branch,C03525,Online,Card,P0171,3006848666184,1,48.85,0.0,,48.85,27.11,21.74
T000104,2025-12-11,S004,Marina Branch,C01594,Online,Cash,P0219,9926189141178,2,11.36,0.0,,22.72,17.0,5.72
T000105,2026-01-11,S005,Deira Branch,C02808,Delivery,Google Pay,P0054,7187026217452,4,16.68,0.0,,66.72,56.0,10.72
T000106,2025-12-27,S004,Marina Branch,C02076,InStore,Google Pay,P0251,8567700518447,1,17.44,0.0,,17.44,10.98,6.46
T000107,2025-12-19,S003,Al Barsha Branch,C02527,Delivery,Apple Pay,P0009,4303911718221,5,11.42,0.0,,57.1,39.75,17.35
T000108,2025-11-27,S003,Al Barsha Branch,C00526,Online,Apple Pay,P0253,3222591365178,1,105.12,0.25,PR0006,105.12,86.76,18.36
T000109,2025-10-20,S005,Deira Branch,C00399,Online,Apple Pay,P0124,9822587139710,6,8.24,0.0,,49.44,39.48,9.96
T000110,2025-12-08,S003,Al Barsha Branch,C00962,Delivery,Apple Pay,P0056,5045562386921,3,16.78,0.1,PR0032,50.34,42.42,7.92
T000111,2025-10-27,S005,Deira Branch,C01383,InStore,Cash,P0035,9663193149195,6,15.27,0.15,PR0015,91.62,62.76,28.86
T000112,2025-11-27,S005,Deira Branch,C03537,Online,Google Pay,P0287,3136502491637,1,12.77,0.0,,12.77,9.47,3.3
T000113,2025-10-19,S003,Al Barsha Branch,C00092,Online,Google Pay,P0021,6025634216072,6,22.49,0.0,,134.94,109.2,25.74
T000114,2025-12-05,S005,Deira Branch,C03311,Online,Cash,P0050,932480861317,3,7.26,0.0,,21.78,14.85,6.93
T000115,2025-11-29,S002,Dubai Hills Branch,C03134,Delivery,Apple Pay,P0091,1798089324603,4,13.93,0.0,,55.72,41.32,14.4
T000116,2026-01-03,S002,Dubai Hills Branch,C01786,InStore,Google Pay,P0180,2344565574315,3,34.89,0.0,,104.67,59.91,44.76
T000117,2025-12-24,S001,JVC Branch,C01218,Delivery,Google Pay,P0153,512382825862,1,18.16,0.15,PR0007,18.16,12.18,5.98
T000118,2026-01-04,S002,Dubai Hills Branch,C02940,Delivery,Cash,P0034,3271937452997,6,9.3,0.0,,55.8,34.02,21.78
T000119,2025-11-29,S005,Deira Branch,C01750,InStore,Apple Pay,P0075,8403690034324,3,4.04,0.25,PR0061,12.12,10.26,1.86
T000120,2026-01-08,S001,JVC Branch,C01229,Online,Apple Pay,P0062,9651370985933,3,12.62,0.0,,37.86,22.23,15.63
T000121,2025-12-09,S002,Dubai Hills Branch,C02751,Delivery,Card,P0055,5780913431614,4,14.48,0.25,PR0059,57.92,62.24,-4.32
T000122,2026-01-05,S001,JVC Branch,C00765,Delivery,Google Pay,P0108,47974801622,6,14.31,0.0,,85.86,72.12,13.74
T000123,2026-01-09,S002,Dubai Hills Branch,C01098,Delivery,Google Pay,P0209,8994417154543,6,16.12,0.0,,96.72,53.4,43.32
T000124,2026-01-05,S005,Deira Branch,C01493,Online,Card,P0056,5045562386921,1,18.65,0.0,,18.65,14.14,4.51
T000125,2025-11-05,S002,Dubai Hills Branch,C01230,Online,Google Pay,P0096,4796275705967,6,8.07,0.0,,48.42,31.32,17.1
T000126,2025-10-25,S003,Al Barsha Branch,C03374,Online,Card,P0103,1438424981824,6,9.55,0.2,PR0035,57.3,59.76,-2.46
T000127,2026-01-12,S003,Al Barsha Branch,C00615,InStore,Cash,P0294,8113863383929,5,16.32,0.1,PR0015,81.6,72.55,9.05
T000128,2025-11-25,S002,Dubai Hills Branch,C01787,Online,Cash,P0288,5132719500528,4,16.54,0.0,,66.16,51.92,14.24
T000129,2025-11-06,S002,Dubai Hills Branch,C02698,Delivery,Card,P0237,2590947985150,3,5.64,0.15,PR0036,16.92,13.71,3.21
T000130,2025-12-18,S001,JVC Branch,C02465,Online,Cash,P0063,471138267588,1,8.68,0.05,PR0041,8.68,6.81,1.87
T000131,2025-12-02,S004,Marina Branch,C00370,Online,Card,P0020,6204505331582,6,8.21,0.0,,49.26,39.42,9.84
T000132,2025-10-31,S002,Dubai Hills Branch,C03822,InStore,Apple Pay,P0081,9807935978203,5,12.47,0.0,,62.35,45.8,16.55
T000133,2025-10-28,S004,Marina Branch,C03167,Online,Apple Pay,P0068,7661771159217,2,19.13,0.0,,38.26,26.3,11.96
T000134,2025-12-05,S005,Deira Branch,C03832,Online,Card,P0138,862118233981,6,12.03,0.0,,72.18,55.32,16.86
T000135,2025-10-30,S002,Dubai Hills Branch,C01673,Online,Cash,P0229,272614933160,2,8.91,0.15,PR0057,17.82,14.98,2.84
T000136,2025-12-24,S004,Marina Branch,C00463,Online,Google Pay,P0257,8811729806864,3,20.98,0.0,,62.94,37.98,24.96
T000137,2026-01-12,S004,Marina Branch,C01487,Online,Apple Pay,P0253,3222591365178,1,119.14,0.15,PR0019,119.14,86.76,32.38
T000138,2025-10-19,S003,Al Barsha Branch,C02482,InStore,Cash,P0095,7652775841611,6,11.74,0.0,,70.44,41.4,29.04
T000139,2025-11-18,S002,Dubai Hills Branch,C02618,Delivery,Apple Pay,P0204,7546913736788,5,19.47,0.0,,97.35,81.95,15.4
T000140,2025-12-24,S001,JVC Branch,C01592,InStore,Google Pay,P0080,4905814770056,2,6.72,0.0,,13.44,7.66,5.78
T000141,2025-11-24,S003,Al Barsha Branch,C03100,InStore,Apple Pay,P0017,8384251354276,1,9.45,0.0,,9.45,8.03,1.42
T000142,2025-11-06,S002,Dubai Hills Branch,C03603,Delivery,Google Pay,P0208,3494466574378,4,16.12,0.0,,64.48,53.08,11.4
T000143,2025-11-21,S001,JVC Branch,C03853,Online,Google Pay,P0003,1849593103410,1,16.89,0.0,,16.89,12.99,3.9
T000144,2025-11-28,S004,Marina Branch,C03763,InStore,Card,P0108,47974801622,6,14.31,0.0,,85.86,72.12,13.74
T000145,2025-12-20,S003,Al Barsha Branch,C02987,Delivery,Apple Pay,P0086,7065379473834,1,44.76,0.2,PR0078,44.76,33.5,11.26
T000146,2026-01-13,S004,Marina Branch,C02628,Delivery,Card,P0206,1035797279857,1,9.7,0.0,,9.7,6.41,3.29
T000147,2026-01-07,S004,Marina Branch,C01286,Delivery,Cash,P0226,8386631779716,2,17.74,0.1,PR0040,35.48,24.52,10.96
T000148,2025-11-06,S001,JVC Branch,C03972,Delivery,Card,P0078,4535218188357,2,12.13,0.0,,24.26,17.62,6.64
T000149,2026-01-12,S005,Deira Branch,C01309,Online,Google Pay,P0242,6180919015815,4,12.93,0.0,,51.72,38.24,13.48
T000150,2025-11-19,S002,Dubai Hills Branch,C03387,Online,Apple Pay,P0076,2268388516065,2,17.95,0.0,,35.9,21.04,14.86
T000151,2025-10-27,S002,Dubai Hills Branch,C01612,Online,Card,P0121,7530463745499,4,17.76,0.0,,71.04,53.32,17.72
T000152,2025-10-19,S001,JVC Branch,C02567,InStore,Cash,P0215,835058300334,5,12.06,0.0,,60.3,40.95,19.35
T000153,2025-11-11,S004,Marina Branch,C00692,InStore,Google Pay,P0206,1035797279857,3,9.7,0.0,,29.1,19.23,9.87
T000154,2025-12-10,S005,Deira Branch,C00697,Delivery,Cash,P0297,433504888995,5,17.53,0.05,PR0048,87.65,67.25,20.4
T000155,2025-12-23,S001,JVC Branch,C03803,Online,Google Pay,P0059,909743953393,4,15.12,0.0,,60.48,51.0,9.48
T000156,2025-11-14,S001,JVC Branch,C03058,Online,Google Pay,P0193,5704331541007,6,12.33,0.15,PR0037,73.98,73.56,0.42
T000157,2025-12-11,S002,Dubai Hills Branch,C03376,Online,Card,P0176,3536541951800,2,17.98,0.0,,35.96,29.64,6.32
T000158,2025-11-09,S004,Marina Branch,C00118,Online,Apple Pay,P0276,6996112535544,4,15.83,0.0,,63.32,51.32,12.0
T000159,2026-01-04,S002,Dubai Hills Branch,C01515,Delivery,Google Pay,P0041,824008427108,4,17.43,0.0,,69.72,44.56,25.16
T000160,2025-10-18,S001,JVC Branch,C02814,InStore,Google Pay,P0222,225579415523,4,5.95,0.15,PR0051,23.8,18.96,4.84
T000161,2026-01-01,S004,Marina Branch,C00214,Online,Card,P0161,9584982544949,3,7.18,0.25,PR0008,21.54,22.56,-1.02
T000162,2025-12-01,S004,Marina Branch,C03848,Delivery,Cash,P0071,494519832731,1,75.68,0.0,,75.68,56.84,18.84
T000163,2025-11-18,S001,JVC Branch,C01240,Online,Apple Pay,P0129,3028439599534,5,13.94,0.0,,69.7,39.25,30.45
T000164,2025-12-27,S002,Dubai Hills Branch,C01067,InStore,Google Pay,P0087,7468862392405,1,18.55,0.0,,18.55,12.25,6.3
T000165,2025-12-15,S003,Al Barsha Branch,C01774,InStore,Apple Pay,P0165,2424154152060,1,79.42,0.15,PR0068,79.42,51.41,28.01
T000166,2025-11-26,S001,JVC Branch,C03571,Online,Apple Pay,P0267,3565880434163,1,43.21,0.1,PR0064,43.21,27.38,15.83
T000167,2025-11-22,S004,Marina Branch,C03120,Online,Apple Pay,P0162,2325367294663,3,17.73,0.0,,53.19,43.92,9.27
T000168,2025-11-07,S004,Marina Branch,C02013,InStore,Google Pay,P0184,1510702966706,3,15.94,0.0,,47.82,39.24,8.58
T000169,2025-11-10,S001,JVC Branch,C01927,Online,Card,P0142,1631599965044,2,19.14,0.1,PR0005,38.28,29.78,8.5
T000170,2025-12-11,S004,Marina Branch,C03798,Online,Cash,P0016,5435346247515,1,11.06,0.0,,11.06,8.14,2.92
T000171,2025-12-01,S004,Marina Branch,C01875,Online,Cash,P0061,4517123685169,6,11.38,0.0,,68.28,42.84,25.44
T000172,2025-11-01,S002,Dubai Hills Branch,C03420,InStore,Apple Pay,P0135,4235369378545,3,8.3,0.15,PR0024,24.9,24.3,0.6
T000173,2026-01-09,S005,Deira Branch,C03142,Delivery,Card,P0080,4905814770056,5,6.38,0.05,PR0068,31.9,19.15,12.75
T000174,2025-10-26,S004,Marina Branch,C02773,InStore,Apple Pay,P0047,4902787429677,2,11.46,0.0,,22.92,19.22,3.7
T000175,2025-11-22,S001,JVC Branch,C00500,Online,Apple Pay,P0138,862118233981,6,12.03,0.0,,72.18,55.32,16.86
T000176,2025-10-30,S005,Deira Branch,C03403,Delivery,Google Pay,P0084,4865281685058,3,10.67,0.05,PR0059,32.01,19.83,12.18
T000177,2026-01-05,S004,Marina Branch,C00024,Online,Cash,P0066,4228421020537,3,21.64,0.0,,64.92,42.12,22.8
T000178,2025-12-13,S005,Deira Branch,C03008,Delivery,Card,P0126,462265676619,3,28.98,0.0,,86.94,72.18,14.76
T000179,2025-10-23,S002,Dubai Hills Branch,C03270,InStore,Cash,P0035,9663193149195,6,17.96,0.0,,107.76,62.76,45.0
T000180,2026-01-02,S005,Deira Branch,C01634,Online,Card,P0280,8845783174560,1,23.69,0.0,,23.69,17.23,6.46
T000181,2025-12-07,S002,Dubai Hills Branch,C01592,Online,Apple Pay,P0261,2137213865893,1,17.64,0.1,PR0021,17.64,14.18,3.46
T000182,2025-11-01,S002,Dubai Hills Branch,C01771,Delivery,Apple Pay,P0209,8994417154543,3,16.12,0.0,,48.36,26.7,21.66
T000183,2025-11-02,S005,Deira Branch,C03409,Online,Card,P0031,6688937346701,3,10.91,0.0,,32.73,22.68,10.05
T000184,2025-12-13,S004,Marina Branch,C02307,Delivery,Google Pay,P0229,272614933160,4,10.48,0.0,,41.92,29.96,11.96
T000185,2025-12-10,S001,JVC Branch,C02515,InStore,Google Pay,P0240,8112880133616,1,36.54,0.0,,36.54,23.35,13.19
T000186,2025-10-28,S004,Marina Branch,C03987,Online,Card,P0226,8386631779716,1,19.71,0.0,,19.71,12.26,7.45
T000187,2025-12-19,S002,Dubai Hills Branch,C02150,InStore,Apple Pay,P0032,9806990162725,5,25.75,0.0,,128.75,98.8,29.95
T000188,2025-12-11,S004,Marina Branch,C01957,Online,Card,P0188,5223955905991,1,13.12,0.0,,13.12,9.48,3.64
T000189,2026-01-12,S002,Dubai Hills Branch,C02143,Online,Apple Pay,P0249,2563942788163,3,24.98,0.0,,74.94,53.43,21.51
T000190,2025-10-23,S005,Deira Branch,C00441,Delivery,Google Pay,P0164,8929750017019,5,9.59,0.05,PR0066,47.95,31.85,16.1
T000191,2025-10-29,S004,Marina Branch,C02329,Online,Apple Pay,P0188,5223955905991,4,13.12,0.0,,52.48,37.92,14.56
T000192,2025-12-30,S003,Al Barsha Branch,C00067,InStore,Google Pay,P0124,9822587139710,1,8.24,0.0,,8.24,6.58,1.66
T000193,2025-11-09,S002,Dubai Hills Branch,C01286,Delivery,Google Pay,P0147,5965756924596,4,6.98,0.2,PR0039,27.92,20.64,7.28
T000194,2026-01-04,S004,Marina Branch,C03761,InStore,Card,P0009,4303911718221,3,11.42,0.0,,34.26,23.85,10.41
T000195,2025-10-27,S002,Dubai Hills Branch,C01063,Delivery,Cash,P0185,4720999347684,6,12.45,0.0,,74.7,49.02,25.68
T000196,2025-12-24,S004,Marina Branch,C00704,Delivery,Google Pay,P0024,3561595148463,1,7.77,0.05,PR0002,7.77,6.24,1.53
T000197,2026-01-13,S004,Marina Branch,C03956,Delivery,Google Pay,P0116,415747338482,4,14.96,0.0,,59.84,50.04,9.8
T000198,2026-01-04,S003,Al Barsha Branch,C02760,Delivery,Google Pay,P0076,2268388516065,5,17.95,0.0,,89.75,52.6,37.15
